文献	35
文献号	23
原文	23
出处	25
社会	360
科学	103
社会科学	9
战线	5
原	107
刊	65
地名	19
长春	4
期	38
号	48
页	95
分类	51
分类号	23
名	29
文艺	211
理论	183
文艺理论	17
作者	129
李	7
心	38
峰	2
复印	27
期号	23
标题	23
艺术	2112
格局	37
新变	1
启示	12
正文	24
文学	482
建设	36
发展	215
应该	59
密切	28
关注	43
实际	86
存在	127
状态	53
已然	5
可能	130
发生	48
变化	61
一个	289
浅近	1
道理	12
大约	7
不会	23
怀	2
疑	2
当下	4
正在	19
身边	3
世界	157
总体	25
巨大	25
大变	2
巨大变化	2
常常	18
不见	11
视而不见	5
不能	111
不能不	20
带来	20
诸多	16
遗憾	7
描述	38
这种	245
基本	63
阐明	5
具有	132
意义	169
理论意义	1
建构	57
中	778
给予	15
积极	27
回应	3
势必	6
引起	21
学艺	40
文学艺术	40
研究	367
研究者	19
广泛	23
兴趣	21
思考	28
所说	37
主要	90
指	54
出现	58
一种	361
崭新	9
整整	3
世纪	100
以前	10
年	131
人类	170
创造	210
电影	52
此后	4
不久	5
便	70
丰富	83
多样	19
可能性	8
审美	142
特征	85
成为	114
第十	2
十位	1
第十位	1
缪斯	2
昂然	2
走进	9
殿堂	4
一门	9
最具	3
国际	8
国际性	1
影响	131
大众	17
大众化	3
种类	5
本世纪	15
三十	4
年代	84
发明	9
电视	72
技术	34
这一	68
二战	2
以后	22
获得	55
迅速	2
今日	8
传播	14
方式	99
传播方式	2
基础	66
上形	1
成	38
十一	4
一位	11
第十一	1
十一位	1
第十一位	1
家族	7
新	132
一员	3
冲击	13
更	174
现代	118
科学技术	2
催生	4
极大	12
改变	24
昔日	2
我国	48
姗姗	1
姗姗来迟	1
最近	5
十几	5
几年	6
十几年	3
高速	1
普	4
文化	562
迅猛	5
迅猛发展	4
日益	13
呈现	14
现出	11
呈现出	6
鲜明	35
轮廓	4
尚未	4
流行	16
普及	16
之前	16
近	7
无疑	36
中心	57
一点	34
无论是	34
西方	144
东方	23
中国	242
概	3
莫能	1
外	35
四个	11
方面	208
一下	15
上述	19
领域	52
导引	5
潮流	8
先声	1
先声夺人	1
旗帜	4
精神	281
神领	1
领袖	3
精神领袖	1
大都	5
当时	46
著名	25
大师	23
高举	1
担当	3
象	32
复兴	31
文艺复兴	23
时代	124
但丁	2
拉伯	9
拉伯雷	3
塞万提斯	5
比亚	5
莎士比亚	3
法国	32
古典	55
主义	496
古典主义	20
时期	67
高乃依	1
莫里	3
莫里哀	2
浪	4
漫	2
雨果	1
批判	33
现实	178
现实主义	45
巴尔	6
扎克	2
巴尔扎	3
巴尔扎克	2
自然	211
自然主义	2
左拉	1
德国	18
狂飙	2
突进	1
运动	38
席勒	4
歌德	7
英国	20
浪漫	29
浪漫派	1
拜伦	1
雪莱	1
代表	50
狄更斯	1
俄国	9
普希金	1
托尔	5
尔斯	11
托尔斯	3
托尔斯泰	3
陀	1
思	14
妥	1
夫斯	21
夫斯基	9
耶夫斯基	2
后来	27
高尔基	4
无不	14
一定	73
某一	8
民族	130
体现	87
体现者	2
引导	19
引导者	1
近代	17
谴责	1
小说	121
革命	31
文学革命	1
主将	1
同样	43
旗手	3
角色	13
特别	63
五四	15
鲁迅	4
郭	1
沫	1
艺术界	5
神界	3
精神界	3
开路	1
先锋	5
门类	18
形色	3
形形色色	2
作品	379
成就	30
最高	38
最大	16
丰碑	1
排除	7
例外	5
现象	58
略略	1
举出	2
代表作	4
不难	25
理解	68
不难理解	6
再次	6
相互	41
作用	92
相互作用	6
相互影响	3
情形	11
来看	35
发现	63
矢量	2
远远	9
大于	4
思潮	11
风格	72
流派	77
关系	134
主题	27
题材	43
人物	139
情调	4
借用	6
改造	4
名著	6
改编	6
没有	127
产生	95
显著	8
第四	14
受众	7
绝对	11
数量	10
人数	4
比例	8
接受	48
覆盖	3
层面	30
说	224
诸种	31
形式	145
上面	5
所作	12
分析	81
大体	6
以往	23
中以	3
有人	21
怀疑	11
世	17
界	4
景观	4
有所	28
反映	59
留下	7
中心论	6
深刻	64
烙印	2
标志	15
第一	47
著作	15
包括	50
学理	10
文学理论	9
诗学	17
批评	57
文学批评	3
文学史	12
质量	19
超出	7
第二	33
美学	77
学家	55
美学家	4
哲学	149
哲学家	5
理论家	14
少数	6
除少数	1
某种	94
推向	6
等级	4
系列	35
高峰	9
最高峰	2
芬奇	5
达芬奇	5
绘画	45
诗	133
音乐	147
雕塑	22
比较	75
认为	110
高级	6
最高级	1
叔本华	3
尼采	5
真正	45
顶峰	1
之外	34
占	13
统治	14
地位	51
意见	4
泛指	1
特指	4
散文	71
相	53
区别	31
韵文	1
置于	11
峰巅	2
康德	4
明确	45
里	68
判断	13
判断力	3
上卷	4
第页	22
黑格	22
黑格尔	21
划分	8
三大	6
类型	57
象征	28
型	12
典型	31
古典型	2
三个	20
阶段	48
出	118
类别	3
史诗	58
抒情	43
情诗	15
抒情诗	14
戏剧	50
体诗	2
高	52
看到	27
做	23
视为	18
独立	37
重要	122
美术	29
并列	5
特殊	58
诗即	1
属下	1
次	2
一级	1
重视	43
不如说	7
具体	74
形	21
式	36
民主	12
民主主义	2
车	2
杜	3
中心主义	3
倾向	62
更是	31
十分	47
明显	38
无需	3
赘述	2
那种	48
即将	4
告别	4
二十	17
十世纪	6
二十世纪	6
迎来	2
新世纪	1
曙光	1
今天	30
仍然	36
依然	5
依然故我	1
持续	8
着吗	2
正视	8
细微	6
观察	17
不到	6
看不到	1
已经	63
重大	10
动摇	3
倾覆	1
实际上	39
早	17
登上	3
历史	238
舞台	16
历史舞台	1
逐渐	15
之际	5
一股	4
颇为	11
强劲	5
冲击波	1
在国	1
学者	128
角度	40
角度看	6
当代	59
法	24
马赛	1
尔马尔丹	1
语言	157
竞争	14
打败	3
日	6
桑原	1
武夫	1
序说	1
看来	29
笼统	5
地说	6
未必	12
确切	4
夸大	3
夸大其辞	1
也许	15
描写	63
细致	14
传达	14
综合	41
合性	5
综合性	2
多种	12
最有	5
传统	113
形成	82
强大	10
却是	12
予以	10
补充	7
道路	10
表明	24
灵魂	13
根本	51
本性	18
根本性	5
击	2
很长	1
一段	13
时间	50
段时间	2
一段时间	1
似乎	36
